"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"IL13",50,47,0.157239496473074,0,0.268379026799261,0,0,15.882052593859,"Yes","No",0,0.693147180559945,1,0,0,-2.36598388
"IL14",52,48,0.788743619205388,0,0.565641555534237,0,0,15.7848735911854,"Yes","No",0,1.05909452902881,1,1,0,-2.23718323
"IL15",29,26,-3.60655062452402,0,0,0,0,14.5227482740185,"Yes","No",0,NA,0,0,0,-1.56963215
"IL16",41,40,-1.57228239669313,0,0,0,0,14.6152474014709,"Yes","No",1,0.343331007054282,1,0,0,-2.01175187
"IL17",62,50,4.77741932233278,0,0,0,0,15.1981229790545,"No","Yes",0,1.56950877065696,0,0,0,-2.22584938
"IL18",33,35,-3.46475908608848,0,0,0,0,14.7640075475817,"Yes","No",0,NA,0,0,0,-2.25690805
"IN01",65,56,NA,0,0,0,0,NA,"No","Yes",1,NA,0,0,0,-1.85056346
"IN02",45,38,0.34778691986688,0,11.0017997961952,0,0,15.766422922197,"Yes","No",0,1.11824508249472,0,0,0,-1.85407627
"IN03",35,32,-0.147916646185307,0,0,0,0,14.4343532586026,"Yes","No",0,0,1,0,0,-2.1026354
"IN04",36,32,-1.54950778162689,1,0,0,0,13.4377537886185,"No","No",0,NA,1,0,1,-1.453419479
"IN05",43,44,-1.9309711416916,0,0,0,0,14.3124223558376,"Yes","No",1,0,1,1,0,-1.39114853
"IN06",34,28,-3.64444461140528,1,0,0,0,14.8687252646426,"No","No",1,NA,1,1,0,-1.74662242
"IN07",65,62,7.40465641538585,0,0,0,0,13.8121446295777,"No","Yes",1,2.35644281455699,0,0,0,-2.71924292
"IN08",36,32,-1.43962050960228,0,0,0,0,13.997709432233,"Yes","No",0,0,0,0,0,-1.593713297
"IN09",44,36,0.521093641960307,0,11.968703386952,0,0,15.2117228979289,"Yes","No",1,0.200296276716989,1,0,0,-2.30702328
"KS01",32,26,-1.83026642412957,0,0,0,0,14.2592413014893,"Yes","No",0,NA,0,0,1,-0.81206549
"KS02",49,40,1.15331160191875,1,-0.565955941057537,0,0,15.4724340639855,"No","No",0,-0.514094457046976,0,0,0,-1.506364325
"KS03",55,51,0.0430748518227234,0,-0.523656752612196,0,0,16.0685472638605,"Yes","No",0,0.845989522547533,1,1,0,-2.90464444
"KS04",41,35,-0.220702059318256,0,0,0,0,15.0196171313427,"Yes","No",1,1.05720012249496,0,0,1,-1.88033226
"KY01",31,25,-2.63331369731423,0,0,1,0,13.5588747763634,"Yes","No",1,NA,0,0,0,-0.42772635035
"KY02",32,29,-2.37537202198376,0,0,0,0,14.5831375001271,"Yes","No",1,0.127339522287628,0,0,0,-0.780709781
"KY03",63,58,0.241995065445334,0,0,0,0,14.3494042129636,"No","Yes",1,0.876355642755232,0,0,0,-2.44873945
"KY04",36,31,-1.56560703688077,0,0,0,0,13.0284138415041,"Yes","No",0,0,0,0,0,-1.03954644
"KY05",21,18,-5.99485793654286,0,0,0,0,13.700354051209,"Yes","No",0,NA,0,0,1,0.383232611071
"KY06",48,41,0.484358830914821,0,-0.788166553637881,0,0,16.4495144633697,"Yes","No",0,0.52054136851442,1,0,1,-2.29034389
"LA01",27,28,-3.93046789470069,0,0,0,0,16.4429096146662,"Yes","No",0,0,1,0,0,-0.9951525679
"LA03",31,30,-1.18417536921184,0,0,0,0,13.97568792364,"Yes","No",0,NA,1,0,0,NA
"LA04",35,38,NA,0,0,0,0,10.0470972999966,"Yes","No",0,NA,0,0,0,0.376474232328
"LA05",31,35,-3.69410234905403,0,0,0,0,13.7709404752121,"Yes","No",0,NA,0,0,0,-0.5624414328
"LA06",29,32,-4.19731113646771,0,0,0,0,14.7304663712309,"Yes","No",0,NA,1,0,0,-0.499354633171
"MA02",67,60,3.40903397346405,0,0,0,0,14.0084124698767,"No","Yes",1,-0.00396692828242544,0,0,0,-2.49185061
"MA03",65,62,0.985882748829341,1,0,0,0,15.104476357968,"No","No",0,0.172675600996244,1,0,0,-1.82878673
"MA05",76,73,NA,0,0,0,0,NA,"No","Yes",1,0.693147180559945,0,0,0,-2.37224416
"MA06",68,60,2.2140538315107,0,0,0,0,14.8006709169311,"No","Yes",0,-0.473851130132024,0,0,0,-1.90150733
"MA09",59,56,0.349542453077415,0,0,0,0,14.544089971942,"No","Yes",0,NA,0,0,0,-1.73933504
"MD01",39,35,0.0912918971294785,0,0,0,0,15.0932817519568,"Yes","No",0,0.560979470879082,0,0,1,-1.403364785
"MD02",68,63,3.24356508268063,0,0,0,0,13.8664454776433,"No","Yes",0,NA,0,0,0,-2.27664674
"MD03",71,66,NA,0,0,0,0,NA,"No","Yes",1,0,0,0,0,-2.19394085
"MD04",80,79,NA,0,0,0,0,NA,"No","Yes",1,-0.061850280927456,0,0,0,-2.20888995
"MD05",72,67,NA,0,0,0,0,NA,"No","Yes",0,0.876404217025158,0,0,0,-2.18787943
"MD06",61,58,3.01408153260822,1,0,0,0,16.7794939654617,"No","No",0,-0.603422187250331,0,0,0,-1.83177179
"MD07",78,79,4.01895778729899,0,0,0,0,13.9035343289768,"No","Yes",1,0,0,0,0,-2.84209293
"MD08",69,68,NA,0,0,0,0,NA,"No","Yes",1,-0.924626912839256,0,0,0,-2.70654073
"ME01",64,58,2.10670950719087,0,0,0,0,13.6810436421601,"No","Yes",1,0.693147180559945,0,0,0,-2.71067778
"ME02",51,45,0.310778640523346,0,-0.71683505731386,0,0,16.1190381926263,"Yes","No",1,1.31806984225876,0,0,1,-2.18974772
"MI01",44,39,-0.0513573032627037,0,0,0,0,14.8455696784618,"Yes","No",0,0,0,0,0,-1.70527991
"MI02",44,40,-0.509159480720611,0,0,0,0,15.0513253744697,"Yes","No",1,NA,0,0,0,-1.56582796
"MI03",44,45,-1.31059263440222,0,0,0,0,13.5984557575278,"Yes","No",1,NA,1,0,0,-1.817709873
"MI04",37,37,NA,0,0,0,0,NA,"Yes","No",1,1.09861228866811,0,0,0,-1.537707945
"MI05",63,52,NA,0,0,0,0,NA,"No","Yes",0,-0.0832493952167199,0,0,0,-1.91482796
"MI06",48,46,-0.764845256115427,0,-0.424690285810472,0,0,15.3365829253005,"Yes","No",0,0.278542927601662,0,0,0,-2.25041893
"MI07",46,41,0.225230860182302,0,0,0,0,15.4029598222988,"Yes","No",0,0.817439701994458,1,0,0,-2.27464885
"MI08",52,46,0.785085834188174,0,-0.216079073418431,0,0,16.2018288683159,"Yes","No",0,-0.504637773740666,1,0,0,-1.94291725
"MI09",62,54,-0.885876197070713,1,0,0,0,12.7630885423901,"No","No",1,-0.0540538424561115,0,0,0,-2.36661672
"MI10",37,33,-2.3069708753862,0,0,0,0,13.5883884777895,"Yes","No",0,0,1,0,0,-1.89808769
"MI11",54,47,0.433220532638698,1,14.6004914277866,0,0,15.7503172266164,"No","No",0,0.261402511079969,1,0,0,-2.20258536
"MI12",70,64,2.75572587131091,0,0,0,0,14.136812403896,"No","Yes",1,-0.542847527407347,0,0,0,-2.49050134
"MI14",83,81,NA,0,0,0,0,NA,"No","Yes",1,0.471334056300011,0,0,0,-2.10837426
"MN01",50,42,0.951216164464342,1,0.000380046719536509,0,0,15.5717750774215,"No","No",0,-0.159568635439106,0,0,0,-1.95742788
"MN02",53,49,0.653695863453524,0,-0.138093057962854,0,0,15.9615759664206,"Yes","No",0,NA,0,0,0,-2.61728562
"MN03",56,55,0.0795350103638333,0,-1.0823861594037,0,0,16.3114345714336,"Yes","No",0,-1.39483352618677,0,0,0,-1.98359803
"MN04",69,67,3.6779763206957,0,0,0,0,13.7728306719653,"No","Yes",0,0,0,0,0,-2.45969807
"MN05",78,80,3.83777906521552,1,0,0,0,13.9176499563897,"No","No",1,1.53901667748319,0,0,0,-3.15384477
"MN06",39,36,-3.2832981397635,0,0,0,0,14.6481438254635,"Yes","No",1,0.564096135210412,0,0,0,-1.589080621
"MN07",52,33,1.69931700513221,0,0,0,0,14.3419162713547,"No","Yes",0,-0.384218782057812,0,0,0,-1.023648207
"MN08",47,42,0.313476785492386,1,-0.777049375198803,0,0,15.2529517184919,"No","No",1,0.0898557252547069,0,0,0,-2.63353086
"MO01",82,80,8.80045845410862,0,0,0,0,13.4057792927348,"No","Yes",1,0.979067165736907,0,0,0,-2.65553651
"MO02",48,44,-0.263495236004213,0,9.90728035077482,0,0,15.5027710828679,"Yes","No",0,-0.741243445860643,0,0,0,-2.11113208
"MO03",34,29,-4.2277789712015,0,0,0,0,14.6804309482723,"Yes","No",1,NA,1,0,0,-1.552482032
"MO04",34,31,-1.01699062337316,0,0,0,0,14.3661105050747,"Yes","No",1,0.0837705686409527,1,0,0,-1.632685123
"MO05",63,57,2.43535555190174,0,0,0,0,14.0583097296912,"No","Yes",1,0,0,0,0,-2.62623307
